id,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
370,27300000.0,Secondary, Технопарк,14.0,Moscow,3.0,90.0,41.0,13.0,3.0,9,Without renovation
371,33800000.0,Secondary, Преображенская площадь,7.0,Moscow,3.0,90.8,45.7,12.6,2.0,30,Cosmetic
372,45000000.0,Secondary, Павелецкая,17.0,Moscow,3.0,81.6,33.7,28.8,13.0,28,Without renovation
373,59850000.0,Secondary, Строгино,8.0,Moscow,3.0,126.0,65.8,17.1,3.0,29,European-style renovation
374,41000000.0,Secondary, Красные ворота,10.0,Moscow,3.0,94.1,7.0,14.4,4.0,5,Designer
375,43000000.0,Secondary, Народное Ополчение,10.0,Moscow,3.0,118.6,54.4,30.4,9.0,48,Without renovation
376,53000000.0,Secondary, Тверская,7.0,Moscow,3.0,93.8,68.8,20.0,4.0,14,European-style renovation
377,55000000.0,Secondary, Петровский Парк,16.0,Moscow,3.0,91.0,56.0,30.0,13.0,41,Without renovation
378,64000000.0,Secondary, Смоленская,6.0,Moscow,3.0,103.0,7.0,15.2,2.0,11,European-style renovation
379,72000000.0,Secondary, Аэропорт,12.0,Moscow,3.0,91.0,69.0,10.0,8.0,41,Designer
380,75000000.0,Secondary, Площадь Ильича,7.0,Moscow,3.0,105.0,67.0,14.0,3.0,13,Designer
381,99000000.0,Secondary, Краснопресненская,10.0,Moscow,3.0,130.0,80.0,25.0,4.0,13,Designer
382,124000000.0,Secondary, Курская,15.0,Moscow,3.0,135.0,79.0,18.0,2.0,11,European-style renovation
383,48990000.0,Secondary, Шелепиха,5.0,Moscow,3.0,85.5,29.0,13.7,36.0,51,Designer
384,75000000.0,Secondary, Белорусская,12.0,Moscow,3.0,126.3,66.0,17.1,3.0,18,Designer
385,145000000.0,Secondary, Фрунзенская,11.0,Moscow,3.0,95.0,75.0,12.0,7.0,14,Without renovation
386,205875000.0,Secondary, Третьяковская,7.0,Moscow,3.0,152.5,15.0,19.3,3.0,6,Designer
387,56000000.0,Secondary, Охотный ряд,11.0,Moscow,3.0,127.4,97.4,20.0,6.0,6,Designer
388,65000000.0,Secondary, Беговая,25.0,Moscow,3.0,75.3,37.3,13.0,17.0,21,Without renovation
389,115000000.0,Secondary, Деловой центр,2.0,Moscow,3.0,187.0,91.0,22.1,39.0,75,Designer
390,224900000.0,Secondary, Полянка,6.0,Moscow,3.0,163.7,15.0,20.2,4.0,6,Designer
391,23800000.0,Secondary, Волгоградский проспект,5.0,Moscow,3.0,80.0,40.1,16.7,22.0,30,European-style renovation
392,36000000.0,Secondary, Алексеевская,7.0,Moscow,3.0,92.9,48.0,20.3,5.0,17,Without renovation
393,113500000.0,Secondary, Деловой центр,4.0,Moscow,3.0,190.0,100.0,10.0,39.0,73,Designer
394,142440000.0,Secondary, Выставочная,15.0,Moscow,3.0,118.7,10.0,16.5,30.0,66,Without renovation
395,34000000.0,Secondary, Шелепиха,5.0,Moscow,3.0,72.2,47.2,8.4,4.0,30,Cosmetic
396,35490000.0,Secondary, Улица 1905 года,3.0,Moscow,3.0,98.5,40.2,19.7,3.0,4,European-style renovation
397,52000000.0,Secondary, Раменки,10.0,Moscow,3.0,133.0,69.4,17.6,15.0,52,Without renovation
398,56500000.0,Secondary, Динамо,9.0,Moscow,3.0,99.0,74.0,15.0,10.0,25,Designer
399,59000000.0,Secondary, Раменки,12.0,Moscow,3.0,76.0,40.6,12.9,15.0,51,Designer
400,182000000.0,Secondary, Парк Культуры,10.0,Moscow,3.0,184.6,16.0,21.9,2.0,8,Without renovation
401,46900000.0,Secondary, Молодёжная,7.0,Moscow,3.0,75.0,40.1,12.8,17.0,28,Designer
402,48500000.0,Secondary, Ростокино,13.0,Moscow,3.0,143.3,101.8,33.7,39.0,58,Designer
403,51000000.0,Secondary, Шелепиха,18.0,Moscow,3.0,98.2,58.2,16.9,18.0,19,Without renovation
404,60000000.0,Secondary, Тестовская,3.0,Moscow,3.0,90.0,65.0,15.0,32.0,78,Designer
405,97000000.0,Secondary, Деловой центр,2.0,Moscow,3.0,192.0,99.2,22.5,41.0,75,Designer
406,224900000.0,Secondary, Спортивная,9.0,Moscow,3.0,237.2,66.7,17.2,14.0,14,Without renovation
407,11990000.0,Secondary, Сходненская,16.0,Moscow,3.0,54.0,29.4,11.1,3.0,4,Without renovation
408,12900000.0,Secondary, Прокшино,13.0,Moscow,3.0,62.0,39.1,10.0,4.0,17,Without renovation
409,15500000.0,Secondary, Окружная,8.0,Moscow,3.0,72.0,38.5,12.6,6.0,8,Cosmetic
410,24800000.0,Secondary, Спортивная,4.0,Moscow,3.0,62.0,42.0,6.6,1.0,6,European-style renovation
411,27500000.0,Secondary, Спортивная,5.0,Moscow,3.0,62.7,41.0,9.0,2.0,5,Designer
412,31800000.0,Secondary, Рабочий посёлок,22.0,Moscow,3.0,93.5,61.3,17.1,11.0,29,Without renovation
413,64000000.0,Secondary, Тестовская,4.0,Moscow,3.0,98.0,51.7,14.7,33.0,78,Designer
414,74800000.0,Secondary, Славянский бульвар,23.0,Moscow,3.0,104.0,53.0,27.0,14.0,26,Without renovation
415,105000000.0,Secondary, Деловой центр,2.0,Moscow,3.0,192.0,99.2,22.5,37.0,75,Designer
416,44988700.0,Secondary, Минская,5.0,Moscow,3.0,71.2,41.0,6.2,2.0,14,European-style renovation
417,64500000.0,Secondary, Шелепиха,19.0,Moscow,3.0,84.0,63.0,16.0,12.0,19,Designer
418,128000000.0,Secondary, Улица 1905 года,7.0,Moscow,3.0,127.6,80.0,7.0,6.0,21,Designer
419,153000000.0,Secondary, Арбатская,6.0,Moscow,3.0,94.0,57.0,8.0,2.0,7,Designer
420,26700000.0,Secondary, Селигерская,11.0,Moscow,3.0,57.4,20.0,10.0,1.0,39,Designer
421,39500000.0,Secondary, Серпуховская,17.0,Moscow,3.0,81.25,40.6,27.4,6.0,18,Cosmetic
422,41500000.0,Secondary, Динамо,10.0,Moscow,3.0,77.2,50.9,8.4,5.0,12,Designer
423,42990000.0,Secondary, Динамо,6.0,Moscow,3.0,70.0,37.5,12.4,15.0,15,Designer
424,45000000.0,Secondary, Фили,15.0,Moscow,3.0,91.5,29.3,14.2,6.0,21,Designer
425,57000000.0,Secondary, Шелепиха,19.0,Moscow,3.0,99.0,7.0,14.8,2.0,19,Designer
426,64900000.0,Secondary, Деловой центр,11.0,Moscow,3.0,90.0,31.1,35.1,7.0,21,Without renovation
427,78000000.0,Secondary, Деловой центр,7.0,Moscow,3.0,100.0,52.7,14.9,39.0,53,Designer
428,190000000.0,Secondary, Ломоносовский проспект,22.0,Moscow,3.0,105.5,14.0,15.4,4.0,8,Designer
